56303,0.314
45822,0.543
45822,0.543
56303,0.314
50903,0.371
53583,0.343
53583,0.343
48273,0.4
50903,0.371
46412,0.486
48273,0.4
47232,0.457
47453,0.429
46412,0.486
47232,0.457
47453,0.429
50903,0.371
46412,0.486
47453,0.429
53583,0.343
48273,0.4
45822,0.543
46412,0.486
48273,0.4
46412,0.486
48273,0.4
45822,0.543
50903,0.371
45822,0.543
46412,0.486
46412,0.486
45822,0.543
47232,0.457
48273,0.4
48273,0.4
48273,0.4
47453,0.429
47232,0.457
47453,0.429
48273,0.4
47232,0.457
46412,0.486
45822,0.543
46412,0.486
50903,0.371
47232,0.457
48273,0.4
46412,0.486
45822,0.543
56303,0.314
47232,0.457
53583,0.343
50903,0.371
48273,0.4
47453,0.429
47453,0.429
47232,0.457
47453,0.429
56303,0.314
48273,0.4
47232,0.457
47453,0.429
46412,0.486
47232,0.457
47232,0.457
47232,0.457
47232,0.457
53583,0.343
46412,0.486
46412,0.486
53583,0.343
47232,0.457
46412,0.486
48273,0.4
48273,0.4
47232,0.457
47232,0.457
46412,0.486
48273,0.4
47232,0.457
46412,0.486
46412,0.486
45822,0.543
53583,0.343
50903,0.371
50903,0.371
45822,0.543
48273,0.4
48273,0.4
53583,0.343
48273,0.4
47232,0.457
50903,0.371
47232,0.457
48273,0.4
53583,0.343
45822,0.543
50903,0.371
47232,0.457
46412,0.486
48273,0.4
50903,0.371
56303,0.314
48273,0.4
47232,0.457
47232,0.457
47232,0.457
47232,0.457
45822,0.543
48273,0.4
48273,0.4
48273,0.4
47232,0.457
46412,0.486
45822,0.543
47232,0.457
46412,0.486
48273,0.4
53583,0.343
46412,0.486
48273,0.4
53583,0.343
56303,0.314
48273,0.4
47232,0.457
53583,0.343
56303,0.314
46412,0.486
46412,0.486
47232,0.457
48273,0.4
47232,0.457
48273,0.4
48273,0.4
53583,0.343
50903,0.371
48273,0.4
56303,0.314
48273,0.4
46412,0.486
48273,0.4
50903,0.371
48273,0.4
47453,0.429
45822,0.543
47232,0.457
45822,0.543
48273,0.4
45822,0.543
48273,0.4
45822,0.543
45822,0.543
50903,0.371
53583,0.343
47232,0.457
47453,0.429
47232,0.457
47453,0.429
48273,0.4
53583,0.343
50903,0.371
47232,0.457
45822,0.543
53583,0.343
47232,0.457
47232,0.457
48273,0.4
48273,0.4
48273,0.4
48273,0.4
46412,0.486
48273,0.4
53583,0.343
48273,0.4
45822,0.543
50903,0.371
48273,0.4
47232,0.457
47232,0.457
48273,0.4
47232,0.457
47453,0.429
45822,0.543
47232,0.457
46412,0.486
46412,0.486
56303,0.314
50903,0.371
